date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:21	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://dezykode.com/robots.txt		(from )
12:06:22	152651/152651	---MCZ	200	added ('OK')	text/html	etag:aee7a0471ac8e25587b1851b5f468c27	https://dezykode.com/	E:/DezyKode/dezykode.com/index.html	(from )
12:06:22	457/457	---MCZ	200	added ('OK')	application/manifest+json	etag:8492b179929e4de42f6d28e6710fac46	https://dezykode.com/manifest.webmanifest	E:/DezyKode/dezykode.com/manifest.webmanifest	(from https://dezykode.com/)
12:06:22	32866/32866	---MCZ	200	added ('OK')	application/javascript	etag:e54894e35281d10e1597ce01477027b1	https://dezykode.com/sw.js	E:/DezyKode/dezykode.com/sw.js	(from https://dezykode.com/)
12:06:25	65411/65411	---M-Z	200	added ('OK')	application/javascript	etag:%2221496a63530e04c68d1bd48e7c9d744f%22	http://img1.wsimg.com/blobby/go/66f40e72-7c50-49d9-aa9b-3b320019d517/gpub/ca6f9a2e4cf2c8b2/script.js	E:/DezyKode/img1.wsimg.com/blobby/go/66f40e72-7c50-49d9-aa9b-3b320019d517/gpub/ca6f9a2e4cf2c8b2/script.js	(from https://dezykode.com/)
12:06:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Oct%202024%2006:36:29%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	E:/DezyKode/img1.wsimg.com/traffic-assets/js/tccl-tti.min.6.delayed	(from https://dezykode.com/)
12:06:29	231860/231860	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Oct%202024%2006:36:29%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/DezyKode/connect.facebook.net/en_US/fbevents.js	(from https://dezykode.com/)
12:06:30	106440/106440	---M-Z	200	added ('OK')	application/javascript	etag:%22b1a52ac6915f8c7fbedb504339bd8c58%22	http://img1.wsimg.com/blobby/go/66f40e72-7c50-49d9-aa9b-3b320019d517/gpub/5642c86ff4e66c19/script.js	E:/DezyKode/img1.wsimg.com/blobby/go/66f40e72-7c50-49d9-aa9b-3b320019d517/gpub/5642c86ff4e66c19/script.js	(from https://dezykode.com/)
12:06:32	311869/311869	---M-Z	200	added ('OK')	application/javascript	etag:%22ccfbb76760ef57046f0f2ca2ef8c9f29%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.43.0.js	E:/DezyKode/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.43.0.js	(from https://dezykode.com/)
12:06:32	21592/21592	---M-Z	200	added ('OK')	text/javascript	etag:%221c56940a864f144fae2eb40ee952cb94%22	https://img1.wsimg.com/signals/js/clients/tti/tti.min.js	E:/DezyKode/img1.wsimg.com/signals/js/clients/tti/tti.min.js	(from https://dezykode.com/)
12:06:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Oct%202024%2006:36:35%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	E:/DezyKode/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://dezykode.com/)
12:06:32	107922/107922	---M-Z	200	added ('OK')	text/javascript	etag:%226a7950cc31489069917bf817b62b2bfe%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	E:/DezyKode/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://dezykode.com/)
12:06:33	64916/64916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2006:36:36%20GMT	https://dezykode.com/a	E:/DezyKode/dezykode.com/a	(from https://connect.facebook.net/en_US/fbevents.js)
12:06:33	64916/64916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2006:36:36%20GMT	https://dezykode.com/POST	E:/DezyKode/dezykode.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
12:06:33	64916/64916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2006:36:36%20GMT	https://dezykode.com/b.resolvedLink	E:/DezyKode/dezykode.com/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
12:06:33	64916/64916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2006:36:36%20GMT	https://dezykode.com/schema.org/	E:/DezyKode/dezykode.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
12:06:34	64916/64916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2006:36:37%20GMT	https://dezykode.com/signals/iwl.js	E:/DezyKode/dezykode.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
